abandoned,addr:city,addr:country,addr:district,addr:housename,addr:housenumber,addr:neighbourhood,addr:postcode,addr:province,addr:street,alt_name,amenity,area,barrier,beds,brand,brand:wikidata,building,building:colour,building:levels,building:levels:underground,check_date,contact:facebook,contact:instagram,contact:phone,contact:twitter,contact:youtube,description,designation,disease:covid19,email,emergency,fax,healthcare,healthcare:speciality,height,helipad,hospital,internet_access,level,long_name,mobile,name,name:en,name:ku,name:ru,name:tr,not:operator:wikidata,note,official_name,old_name,opening_date,opening_hours,operator,operator:type,operator:wikidata,operator:wikipedia,phone,rehabilitation:type,roof:colour,roof:height,roof:material,roof:shape,short_name,smoking,source,start_date,url,website,wheelchair,wikidata,wikimedia_commons,wikipedia,osm_id,longitude,latitude
,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,No emergency!,,,,,,,,,,,,,,,,,,,,,,,,,3890716143,32.8096719,39.9943679
,Keçiören/Ankara,,,,,,,,Asya Sokak,,clinic,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,Asya Aile Sağlığı Merkezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4076349292,32.862321,40.0002747
,Keçiören/Ankara,,,,,,,,Gürkan Sokak,,clinic,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,Şenlik Aile Sağlığı Merkezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4078116504,32.8736559,39.9938408
,Keçiören/Ankara,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,Gazeller Aile Sağlığı Merkezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4084939432,32.8463095,39.996933
,Keçiören/Ankara,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,Barış Sitesi Aile Sağlığı Merkezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4085039207,32.8387014,39.982768
,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,no,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4347235916,32.8137001,39.9941605
,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,Güneşevler Semt Polikliniği,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4393575503,32.8846772,39.971465
,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,no,,clinic,general,,,,,,,,Yenimahalle 6 Nolu Aile Sağlığı Merkezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8825938837,32.7991013,39.9846941
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,gynaecology,,,,,,,,Kadın Doğum Hastanesi,,,,,,,,,,,Sağlık Bakanlığı,government,Q4294365,,,,,,,,,,,,,,,,,,10077457875,32.8294212,39.96297469999998
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,neurology;orthopaedics,,,,,,,,Ortopedi ve Nöroloji Hastanesi,,,,,,,,,,,Sağlık Bakanlığı,government,Q4294365,,,,,,,,,,,,,,,,,,10077457877,32.8314799,39.96589860000001
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,"Göğüs, Kalp ve Damar Hastalıkları Hastanesi",,,,,,,,,,,Sağlık Bakanlığı,government,Q4294365,,,,,,,,,,,,,,,,,,10077457878,32.8306779,39.9671983
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,general,,,,,,,,Genel Hastane,,,,,,,,,,,Sağlık Bakanlığı,government,Q4294365,,,,,,,,,,,,,,,,,,10077457879,32.8324801,39.9638523
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,oncology,,,,,,,,Onkoloji Hastanesi,,,,,,,,,,,Sağlık Bakanlığı,government,Q4294365,,,,,,,,,,,,,,,,,,10077457880,32.8302516,39.961656
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,yes,,hospital,gynaecology;paediatrics,,,,,,,,Kadın Doğum Ve Çocuk Acil,,,,,,,,,,24/7,Sağlık Bakanlığı,government,Q4294365,,,,,,,,,,,,,,,,,,10077470611,32.8290487,39.9640568
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,Çocuk Hemodiyaliz,,,,,,,,,,,Sağlık Bakanlığı,government,Q4294365,,,,,,,,,,,,,,,,,,10080058032,32.8290858,39.9656233
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,Hemodiyaliz,,,,,,,,,,,Sağlık Bakanlığı,government,Q4294365,,,,,,,,,,,,,,,,,,10159201121,32.8321434,39.9641333
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,paediatrics,,,,,,,,Çocuk Hastanesi,,,,,,,,,,,Sağlık Bakanlığı,government,Q4294365,,,,,,,,,,,,,,,,,,10245508803,32.8284088,39.9649757
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,psychiatry,,,,,,,,Psikiyatri Kliniği,,,,,,,,,,,Sağlık Bakanlığı,government,Q4294365,,,,,,,,,,,,,,,,,,10304290231,32.8239916,39.9612455
,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,ARSLAN ÇOCUK KLİNİĞİ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11022512401,32.8858385,39.9730928
,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,Aydınlıkevler Aile Sağlığı Merkezi,,,,,,,,,,,T.C. Sağlık Bakanlığı,public,Q4294365,,,,,,,,,,,,,,,,,,11386192340,32.8806327,39.9603058
,,,,,26,,06010,,Adnan Yüksel Caddesi,,clinic,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,Adnan Yüksel ASM Aile Sağlığı Merkezi,,,,,,,,,,Mo-Fr 08:30-19:00,,,,,+90 312 326 59 60,,,,,,,,,,,,,,,,12378377401,32.8293264,39.9777553
,,,,,17,,06280,,340. Cadde,,clinic,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,Keçiören Aşık Veysel Aile Sağlığı Merkezi,,,,,,,,,,Mo-Fr 09:00-16:30,,,,,+90 312 378 00 86,,,,,,,,,,,,,,,,13015005201,32.8404649,40.0027638
,,,,,,,,,,,hospital,,,,,,hospital,,,,,,,,,,,,,,yes,,hospital,,,,,,,,,Özel Ulus Hastanesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217542916,32.8530502,39.9538484
,,,,,,,,,,,hospital,,,,,,yes,,,,,,,,,,,,,,,,hospital,,,,,,,,,Deva Tıp Merkezi,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,227701865,32.8222229,39.980181
,,,,,,,,,,,clinic,,,,,,yes,,,,,,,,,,,,,,,,clinic,,,,,,,,,Göçmen Konutları Aile Sağlığı Merkezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271776054,32.8891026,40.0268406
,Keçiören/Ankara,,,,,,,,Devrek Sk,,clinic,,,,,,yes,,,,,,,,,,,,,,,,clinic,,,,,,,,,Şevket Sağlık Ocağı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313309260,32.8811668,39.9856944
,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,yes,,hospital,gynaecology,,,,,,,,Zübeyde Hanım Doğum ve Kadın Hastalıkları Hastanesi,,,,,,,,,,,Türkiye Cumhuriyeti Sağlık Bakanlığı,public,,,,,,,,,,,,,,,,,,,324059873,32.8396733,39.9643983
